"Year","Age","mx","qx","ax","lx","dx","Lx","Tx","ex","OpenInterval"
1910,40,0.01006,0.04899,2.38,56671,2776,276080,1559489,27.52,FALSE
1910,45,0.01191,0.05773,2.37,53895,3112,261286,1283409,23.81,FALSE
1910,50,0.01589,0.07631,2.42,50784,3875,243938,1022123,20.13,FALSE
1910,55,0.02164,0.10246,2.41,46909,4806,222107,778184,16.59,FALSE
1910,60,0.03617,0.16538,2.42,42102,6963,192515,556077,13.21,FALSE
1910,65,0.05234,0.22935,2.31,35139,8059,153984,363562,10.35,FALSE
1910,70,0.09288,0.37145,2.31,27080,10059,108304,209578,7.74,FALSE
1910,75,0.14981,0.52418,2.14,17021,8922,59558,101274,5.95,FALSE
1910,80,0.17293,0.57341,2.06,8099,4644,26855,41716,5.15,FALSE
1910,85,0.21388,0.6554,2.05,3455,2264,10587,14861,4.3,FALSE
1910,90,0.2703,0.72008,1.76,1191,857,3172,4273,3.59,FALSE
1910,95,0.29251,0.77653,1.98,333,259,885,1101,3.31,FALSE
1910,100,0.33577,0.82185,1.89,74,61,182,217,2.91,FALSE
1910,105,0.38063,0.85942,1.81,13,11,30,34,2.6,FALSE
1910,110,0.41555,1,2.41,2,2,4,4,2.41,TRUE
1915,0,0.17557,0.1565,0.31,100000,15650,89137,3979695,39.8,FALSE
1915,1,0.04162,0.14986,1.33,84350,12641,303707,3890558,46.12,FALSE
1915,5,0.00805,0.03931,2,71709,2819,350094,3586851,50.02,FALSE
1915,10,0.0045,0.02226,2.54,68890,1533,340685,3236756,46.98,FALSE
1915,15,0.00723,0.03554,2.7,67357,2394,331275,2896071,43,FALSE
1915,20,0.00972,0.04751,2.59,64963,3086,317386,2564796,39.48,FALSE
1915,25,0.0108,0.05256,2.45,61877,3253,301083,2247410,36.32,FALSE
1915,30,0.01151,0.0559,2.41,58624,3277,284646,1946327,33.2,FALSE
1915,35,0.01088,0.0529,2.38,55347,2928,269071,1661681,30.02,FALSE
1915,40,0.01287,0.06217,2.28,52419,3259,253241,1392610,26.57,FALSE
1915,45,0.01304,0.06307,2.4,49160,3101,237742,1139368,23.18,FALSE
1915,50,0.01876,0.0893,2.32,46060,4113,219281,901626,19.58,FALSE
1915,55,0.02144,0.10171,2.48,41947,4267,198997,682345,16.27,FALSE
1915,60,0.04117,0.1854,2.32,37680,6986,169677,483348,12.83,FALSE
1915,65,0.05085,0.22438,2.38,30694,6887,135426,313671,10.22,FALSE
1915,70,0.10467,0.40361,2.17,23807,9609,91804,178245,7.49,FALSE
1915,75,0.13768,0.49969,2.26,14198,7095,51531,86441,6.09,FALSE
1915,80,0.18173,0.59123,2.05,7104,4200,23110,34910,4.91,FALSE
