"Year","Age","ASFR","OpenInterval"
1936,43,0.03222,FALSE
1936,44,0.02197,FALSE
1936,45,0.01352,FALSE
1936,46,0.009,FALSE
1936,47,0.00706,FALSE
1936,48,0.0061,FALSE
1936,49,0.00522,FALSE
1936,50,0.00526,FALSE
1936,51,0.00247,FALSE
1936,52,0.00053,FALSE
1936,53,9e-05,FALSE
1936,54,1e-05,FALSE
1936,55,0,TRUE
1937,12,0,TRUE
1937,13,1e-05,FALSE
1937,14,0.00016,FALSE
1937,15,0.00077,FALSE
1937,16,0.00268,FALSE
1937,17,0.00722,FALSE
1937,18,0.01581,FALSE
1937,19,0.02982,FALSE
1937,20,0.049,FALSE
1937,21,0.07529,FALSE
1937,22,0.10438,FALSE
1937,23,0.13186,FALSE
1937,24,0.1538,FALSE
1937,25,0.16675,FALSE
1937,26,0.17044,FALSE
1937,27,0.1699,FALSE
1937,28,0.16871,FALSE
1937,29,0.16952,FALSE
1937,30,0.16111,FALSE
1937,31,0.14492,FALSE
1937,32,0.13443,FALSE
1937,33,0.12937,FALSE
1937,34,0.12834,FALSE
1937,35,0.12008,FALSE
1937,36,0.10785,FALSE
1937,37,0.09705,FALSE
1937,38,0.08686,FALSE
1937,39,0.07661,FALSE
1937,40,0.06816,FALSE
1937,41,0.05657,FALSE
1937,42,0.04244,FALSE
1937,43,0.02959,FALSE
1937,44,0.0196,FALSE
1937,45,0.01199,FALSE
1937,46,0.00787,FALSE
1937,47,0.00598,FALSE
1937,48,0.00494,FALSE
1937,49,0.00404,FALSE
1937,50,0.0039,FALSE
1937,51,0.00182,FALSE
1937,52,0.00042,FALSE
1937,53,8e-05,FALSE
1937,54,1e-05,FALSE
1937,55,0,TRUE
1938,12,0,TRUE
1938,13,2e-05,FALSE
1938,14,0.00019,FALSE
1938,15,0.00087,FALSE
1938,16,0.00287,FALSE
1938,17,0.00728,FALSE
1938,18,0.01505,FALSE
1938,19,0.02698,FALSE
1938,20,0.04139,FALSE
1938,21,0.06075,FALSE
1938,22,0.08147,FALSE
1938,23,0.10149,FALSE
1938,24,0.11973,FALSE
1938,25,0.13191,FALSE
1938,26,0.13695,FALSE
1938,27,0.13975,FALSE
1938,28,0.14305,FALSE
1938,29,0.1489,FALSE
1938,30,0.1468,FALSE
1938,31,0.13694,FALSE
1938,32,0.12993,FALSE
1938,33,0.12596,FALSE
1938,34,0.12422,FALSE
1938,35,0.11574,FALSE
1938,36,0.10362,FALSE
1938,37,0.09352,FALSE
1938,38,0.08441,FALSE
1938,39,0.07532,FALSE
1938,40,0.06794,FALSE
1938,41,0.05668,FALSE
1938,42,0.04231,FALSE
1938,43,0.02916,FALSE
1938,44,0.01902,FALSE
1938,45,0.01152,FALSE
1938,46,0.00749,FALSE
1938,47,0.00572,FALSE
1938,48,0.00481,FALSE
1938,49,0.00401,FALSE
1938,50,0.00397,FALSE
1938,51,0.00185,FALSE
1938,52,0.00041,FALSE
1938,53,7e-05,FALSE
1938,54,1e-05,FALSE
1938,55,0,TRUE
1939,12,0,TRUE
1939,13,1e-05,FALSE
1939,14,7e-05,FALSE
1939,15,0.00034,FALSE
1939,16,0.00135,FALSE
1939,17,0.00414,FALSE
1939,18,0.00988,FALSE
1939,19,0.01865,FALSE
1939,20,0.02911,FALSE
1939,21,0.04341,FALSE
1939,22,0.05863,FALSE
1939,23,0.07312,FALSE
1939,24,0.08611,FALSE
1939,25,0.09498,FALSE
1939,26,0.09779,FALSE
1939,27,0.10043,FALSE
1939,28,0.10584,FALSE
1939,29,0.11623,FALSE
1939,30,0.12234,FALSE
1939,31,0.12003,FALSE
1939,32,0.11789,FALSE
1939,33,0.11614,FALSE
