year,age,race,d,e,m,type
2008,69,o,NA,NA,1.7877796617691735,m_smoothed
2008,70,o,NA,NA,1.681702874611804,m_smoothed
2008,71,o,NA,NA,1.592025440332509,m_smoothed
2008,72,o,NA,NA,1.522006608387521,m_smoothed
2008,73,o,NA,NA,1.4774842295473465,m_smoothed
2008,74,o,NA,NA,1.464503657844244,m_smoothed
2008,75,o,NA,NA,1.4905305029813043,m_smoothed
2008,76,o,NA,NA,1.5662225325984542,m_smoothed
2008,77,o,NA,NA,1.699648788418492,m_smoothed
2008,78,o,NA,NA,1.890842062990763,m_smoothed
2008,79,o,NA,NA,2.139287295143073,m_smoothed
2008,80,o,NA,NA,2.441901866993721,m_smoothed
2008,81,o,NA,NA,2.789736869890892,m_smoothed
2008,82,o,NA,NA,3.1673705662995735,m_smoothed
2008,83,o,NA,NA,3.5548795522469816,m_smoothed
2008,84,o,NA,NA,3.923909401611492,m_smoothed
2008,85,o,NA,NA,4.2379790725692015,m_smoothed
2009,0,o,NA,NA,0.4726436984814317,m_smoothed
2009,1,o,NA,NA,0.27757647521008,m_smoothed
2009,2,o,NA,NA,0.16553701700935067,m_smoothed
2009,3,o,NA,NA,0.10214299248316387,m_smoothed
2009,4,o,NA,NA,0.06644469524167719,m_smoothed
2009,5,o,NA,NA,0.04642111655098965,m_smoothed
2009,6,o,NA,NA,0.035433373688181675,m_smoothed
2009,7,o,NA,NA,0.030037674009131213,m_smoothed
2009,8,o,NA,NA,0.028746800735115503,m_smoothed
2009,9,o,NA,NA,0.031571463315313526,m_smoothed
2009,10,o,NA,NA,0.04035165145488129,m_smoothed
2009,11,o,NA,NA,0.0591020075131263,m_smoothed
2009,12,o,NA,NA,0.09576786940675414,m_smoothed
2009,13,o,NA,NA,0.1656743046024948,m_smoothed
2009,14,o,NA,NA,0.2952903737732891,m_smoothed
2009,15,o,NA,NA,0.5235761691152135,m_smoothed
2009,16,o,NA,NA,0.9006861625498142,m_smoothed
2009,17,o,NA,NA,1.4790181562200904,m_smoothed
2009,18,o,NA,NA,2.2816700963391545,m_smoothed
2009,19,o,NA,NA,3.2545013901000877,m_smoothed
2009,20,o,NA,NA,4.226549727542907,m_smoothed
2009,21,o,NA,NA,5.003605910452719,m_smoothed
2009,22,o,NA,NA,5.5095298870846525,m_smoothed
2009,23,o,NA,NA,5.763228670247042,m_smoothed
2009,24,o,NA,NA,5.849551260796567,m_smoothed
2009,25,o,NA,NA,5.883013272252016,m_smoothed
2009,26,o,NA,NA,5.935504283091066,m_smoothed
2009,27,o,NA,NA,6.004655811462617,m_smoothed
2009,28,o,NA,NA,6.081811222163676,m_smoothed
2009,29,o,NA,NA,6.157915055015322,m_smoothed
2009,30,o,NA,NA,6.223512116205935,m_smoothed
2009,31,o,NA,NA,6.274950895739364,m_smoothed
2009,32,o,NA,NA,6.320605271858072,m_smoothed
2009,33,o,NA,NA,6.370541763161392,m_smoothed
2009,34,o,NA,NA,6.435158399302482,m_smoothed
2009,35,o,NA,NA,6.525329316194966,m_smoothed
2009,36,o,NA,NA,6.64814547923199,m_smoothed
2009,37,o,NA,NA,6.799474385834413,m_smoothed
2009,38,o,NA,NA,6.973106845558946,m_smoothed
2009,39,o,NA,NA,7.162305637726928,m_smoothed
2009,40,o,NA,NA,7.3596022377224575,m_smoothed
2009,41,o,NA,NA,7.557989941087423,m_smoothed
2009,42,o,NA,NA,7.75436724617199,m_smoothed
2009,43,o,NA,NA,7.9463650389800184,m_smoothed
2009,44,o,NA,NA,8.13142668467962,m_smoothed
2009,45,o,NA,NA,8.306825429925974,m_smoothed
2009,46,o,NA,NA,8.4676619099982,m_smoothed
